x,y,token
14.779081,-1.1696755,beautiful
34.51865,19.491957,moonlight
21.78586,2.1378348,mild
-1.7994701,-24.971092,draw
35.565685,46.552532,back
28.23736,-27.201012,fire
-23.064932,33.33416,found
13.911689,7.192509,damp
14.1119,37.584076,dirty
-34.70775,-8.383552,catch
13.90895,7.1903195,cold
8.576142,12.9022,look
28.292526,29.971285,shoes
-19.901575,55.50803,quite
-24.722767,11.680337,surprising
39.259586,3.5313826,vast
-30.546679,-2.8549004,deal
31.26486,-17.755312,rain
26.069744,-13.614634,rained
-33.123726,1.338773,dreadfully
2.4602115,37.41626,hard
-23.877356,51.92947,breakfast
-40.637276,-2.0516467,wanted
-4.85381,47.43277,bye
5.232168,-17.613008,joy
4.9683814,42.82205,sort
-44.528893,33.49995,feeling
0.29810554,39.57438,hurry
-48.362606,-14.502414,hope
39.422897,46.001434,went
-45.022606,-2.0591273,behave
-0.38657156,53.635468,cried
-37.72193,-15.442678,ah
-44.440186,-29.24279,tis
-36.688065,-0.92193687,business
-6.989518,44.46018,mr
-48.56721,41.77735,miss_woodhouse
-38.762127,-6.128867,please
-45.466385,-0.72318643,possibly
3.7727447,55.528862,.'
-51.525993,15.960728,regard
-5.978317,20.999043,comes
-42.9797,3.1859634,question
-45.529522,23.629833,dependence
-37.741657,18.507055,independence
-29.14303,7.7714787,rate
-52.05778,-12.319542,better
-11.033657,13.504617,especially
-2.1415563,13.905737,those
7.9679337,19.832048,fanciful
-36.874626,5.993794,troublesome
-27.153162,6.6977634,creature
54.031326,25.90117,head
-34.619587,0.6728346,certainly
-43.451748,-2.1163914,believe
2.86105,54.10459,","""
-12.937402,27.70928,sometimes
-42.204662,-17.696064,dearest
-41.163727,-7.0912423,mean
-41.49623,-3.9700096,_you_
17.732239,6.068935,horrible
-36.75412,11.61147,idea
-37.49257,-15.185263,oh
-41.001446,-1.5096414,meant
-33.709667,-13.782381,myself
-32.343426,-5.050153,loves
-32.121387,4.208901,joke
5.8841577,16.898443,another
-22.928534,10.913456,fact
-54.242283,4.8338027,faults
-27.105082,-9.190408,told
-50.160908,31.829912,agreeable
-28.241974,-8.523493,knew
-44.53082,0.8107305,suspect
-33.03953,-5.731752,knows
-42.978416,-1.1570185,flatter
-38.442394,26.246231,reflection
11.964081,46.265686,has
-11.77326,2.8946738,persons
-25.914543,7.61501,chances
-55.954426,-2.6786933,willing
-32.49022,-11.6547165,let
9.576527,-50.02402,pass
0.43310842,53.23107,"--"""
-28.292158,-32.904373,hear
-35.252426,3.6159906,behaved
-17.607897,31.07914,punctual
8.748326,12.806695,looks
12.04028,-1.641837,tear
24.250212,33.06661,face
-20.253567,33.47785,seen
19.71484,-41.09896,apart
32.19466,-2.1103976,bears
-33.832897,-1.7100685,sorry
-48.92084,0.8866216,lose
-45.95698,45.963753,miss
-33.775116,-6.1661654,thinks
9.605115,-22.29598,turned
4.796529,-29.416174,divided
4.046547,-13.539629,tears
-17.857874,38.06982,smiles
-30.861526,-8.043956,should
-25.92292,-39.320393,acceptable
-25.201101,11.087222,important
-43.657692,12.111521,secure
-17.275356,1.4421852,provision
-8.114401,-55.516613,therefore
-47.03763,3.1631842,allow
-12.383879,-18.175493,pain
-25.777573,42.275562,happily
-35.26756,-1.5018665,forgotten
-28.821241,2.5436482,matter
-24.4241,26.778849,considerable
47.154602,-47.126,four
-10.259161,32.434788,years_ago
-35.799423,33.298588,proved
-45.527523,-2.2123318,marry
28.835047,35.542137,shook
5.9019566,11.087552,fondly
0.8697103,51.974655,replied
-43.812862,3.5444329,matches
-21.517487,7.2098174,whatever
-31.244318,-33.81355,pray
-53.235977,-7.26009,none
-37.72074,8.778771,greatest
-40.403404,28.330423,amusement
-46.88013,28.461372,success
-50.85502,30.526136,perfectly
-32.245705,29.720509,constantly
-29.163685,27.190596,occupied
-21.671452,7.7953324,either
-37.491062,1.2284279,friends
-27.34628,0.73643374,wherever
-41.262505,0.76941407,need
-34.213165,45.012157,spend
-21.781897,9.683086,single
29.504812,-68.03551,year
-9.750533,-3.753943,alone
-14.938584,25.442787,others
10.97914,-63.54228,son
-14.68737,50.082504,uncle
13.522581,43.344723,letting
23.958504,-33.48951,solemn
-37.050934,-6.0424185,nonsense
-51.663185,27.577099,subject
-58.898556,10.205532,believed
-15.251272,-0.5816516,since
-40.93202,44.843506,met
30.317852,5.980755,broadway
42.51937,41.860416,lane
24.12657,46.01118,began
47.167835,28.245493,darted
-41.130432,16.315754,gallantry
3.1775603,4.552501,borrowed
1.4679775,41.31803,farmer
-17.74627,31.498402,planned
